30001,Account Manager,20231101,20241130
30002,Admin Executive,20231101,20241130
30003,Call Centre,20231101,20241130
30004,Consultancy Director,20231101,20241130
30005,Consultant,20231101,20241130
30006,Developer,20231101,20241130
30007,Engineering Director,20231101,20241130
30008,Finance  Executive,20231101,20241130
30009,Finance Director,20231101,20241130
30010,Finance Manager,20231101,20241130
30011,HR Director,20231101,20241130
30012,HR Executive,20231101,20241130
30013,IT Analyst,20231101,20241130
30014,IT Director,20231101,20241130
30015,Jumior Engineer,NULL,NULL
30016,L&D Executuve,NULL,NULL
30017,Ops Planning Exec,NULL,NULL
30018,Sales Director,NULL,NULL
30019,Sales Manager,NULL,NULL
30020,Senior Engineer,NULL,NULL
30021,Solutioning Director,NULL,NULL
30022,Support Engineer,NULL,NULL
